year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key,subtitle,summary,goal,study_outside,schedule_plan,textbook,reference,grading_method,notes_url,course_code_full,major_field,middle_field,minor_field,level,subject_category,year_assignment,credits,language,method_type
2026,HUMA110L,基礎ゼミ II　01,山本　敦,人科,秋学期,月１時限,１００-１１８,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022012026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　02,山本　敦,人科,秋学期,月１時限,１００-１１８,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022022026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　03,梁　辰,人科,秋学期,月１時限,１００-２１０,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022032026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　04,梁　辰,人科,秋学期,月１時限,１００-２１０,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022042026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　05,北原　卓也,人科,秋学期,火１時限,１００-１１８,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022052026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　06,北原　卓也,人科,秋学期,火１時限,１００-１１８,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022062026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　07,山本　敦,人科,秋学期,火１時限,１００-１１５,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022072026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　08,山本　敦,人科,秋学期,火１時限,１００-１１５,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022082026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　09,矢野　敏史,人科,秋学期,火１時限,１００-２０５,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022092026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
2026,HUMA110L,基礎ゼミ II　10,矢野　敏史,人科,秋学期,火１時限,１００-２０５,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践......,1930000022102026193000002219,,本科目は、少人数クラスで、授業のために簡易化された人間科学的な研究を実践し、受け身で学ぶ姿勢から、自ら疑う・考える・創る学習姿勢への転換を図り、人間科学の研究について理解を深めることを目的とする。特に、３年次以降所属する専門ゼミ・卒研ゼミを視野に入れた学習を実施する。また、本科目では、体験的研究実践を実験者と実験参加者の立場を両方体験することを通して、研究倫理の意味を理解する。,"・授業内で行う簡易的な研究の実践を通じて、受動的に覚える姿勢から、自ら考え、探究する姿勢へと転換することができる。（B12、E12）
・研究者の社会的責任、研究倫理について、基礎的な事項を理解する。（F12）",授業は隔週とし、毎回事前学習・事後学習を求める。事前学習・事後学習は、毎回60〜120分程度を見込んでいる。,"1:
第１回：オリエンテーション・春学期の学修の振り返り【対面】
春学期科目で学修した、人間科学の研究における重要事項をふりかえる。人間科学には多様な研究活動（研究方法）があることを再認識する。また、研究倫理について再確認する。
事後学習：人間科学の研究の多様性、および、研究倫理に関するレポート
2:
第２回：研究の進め方を理解する【対面】
IMRAD(Introduction, Methods, Results And Discussion)に基づく研究の進め方について理解できる。簡易的な実験を教室内で行い、仮説の考え方や、仮説検証型の研究プロセスを体験的に理解し、記録ができる。
事後学習・事前学習：研究計画の立案
3:
第３回：研究計画を立てる【対面】
自身の仮説を、具体的な研究計画として整理できる。先行研究をもとに研究計画を立てることができる。
事後学習・事前学習：研究計画の修正とデータ収集
4:
第４回：データを収集する【対面】
ピアレビューを通して研究計画の実現可能性や、仮説の妥当性について議論し、必要に応じて軌道修正できる。収集データの妥当性・信頼性について検討した上で、データの収集と記録ができる。収集するデータは、量的・質的データのいずれでも良いが、研究倫理上、問題がない範囲で、実験・調査・観察等を通して得られるデータの利用を原則とする。
事後学習・事前学習：データの収集と分析
5:
第５回：データを分析する【対面】
先行研究に基づいて収集したデータの分析の方向性を定めた上で、分析を行い、結果を要約できる。
事後学習・事前学習：報告書の作成
6:
第６回：報告書を作成する【対面】
IMRAD構造に基づいた研究レポートを作成できる。レポートを、ポスター形式に要約できる。
事後学習・事前学習：ポスター発表の準備
7:
第７回：発表する【対面】
ポスター発表において、自身の成果を発表し、質疑応答ができる。ピアレビューもしくは質疑応答を通して、相互に学び合うことができる。
事後学習・事前学習：ポスター発表の振り返りレポートの作成",授業中に紹介する。,各教員が別途指定する場合がある。,レポート: 80％ 毎回の授業内レポート・事前事後課題の取り組み、内容によって評価する。,,HUMA110L,人間科学,人間科学基幹,人間科学基礎,初級レベル（入門・導入）,人間科学基礎科目（必修）,１年以上,1,日本語,【対面】
