year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key,subtitle,summary,goal,study_outside,schedule_plan,textbook,reference,grading_method,notes_url,course_code_full,major_field,middle_field,minor_field,level,subject_category,year_assignment,credits,language,method_type
2026,LAWH101S,導入演習（選択）　４,白石　大,法学,秋学期,月５時限,教室未定,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題......,1200000110042026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　５,大澤　慎太郎,法学,秋学期,月３時限,教室未定,1　概要 春学期に開講される「導入演習（必修）4」に接続する形で開講される......,1200000110052026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　８,中里　浩,法学,秋学期,金３時限,教室未定,このゼミは①１年次の早期に法律関連キャリアや法制度の基本的枠組みを考える機......,1200000110082026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　９,小倉　健裕,法学,秋学期,金１時限,教室未定,判例を検索し、関連文献のコピーを図書館でとって、その読解をすること、さらに......,1200000110092026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　１０,勅使川原　和彦,法学,秋学期,月５時限,教室未定,【対面授業】 法学部の導入科目として、法的なものの見方・考え方、調べ方や......,1200000110102026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　１３,中本　香織,法学,秋学期,火５時限,教室未定,①秋学期の前半は、2年生以降に履修する民事訴訟法・刑事訴訟法の導入として、直......,1200000110132026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　１４,北川　佳世子,法学,秋学期,火２時限,教室未定,〇本授業は、刑法の事例問題を使用して、刑法解釈の基本的手法を習得し、刑法理......,1200000110142026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　１６,杉本　一敏,法学,秋学期,水２時限,教室未定,毎回１件の（刑法）判例をテーマとして取り上げ、報告担当者（グループもあり......,1200000110162026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　１７,遠藤　聡太,法学,秋学期,金２時限,教室未定,重要とされる判例が，どのような事案について，何を判断し，また判断していない......,1200000110172026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
2026,LAWH101S,導入演習（選択）　１８,酒巻　匡,法学,秋学期,月３時限,教室未定,犯罪捜査と刑事裁判に関する下記教科書を講読すると共に、そこで触れられている......,1200000110182026120000011012,,この授業の前半では、春学期に引き続き、私たちの日常を取り巻く様々な法的問題について報告とディスカッションを行います。次いで後半では、民法の判例を題材に報告とディスカッションを行います。これらにより、２年次以降で主専攻法学演習を受講できるようになる準備を整えます。また、春学期と同様、弁護士事務所への訪問などを行うことも考えています。,まず、社会における法の役割を理解することで法への関心を高め，法学の学習に対して意欲を持って取り組めるようになることを第一の到達目標とします。次に、判例を読みこなせるようになり、2年次以降の主専攻法学演習を受講する準備を整えられることを第二の到達目標とします。さらに、自分の考えを的確に他者に伝え、他者との間で論理的な議論ができるようになることを第三の到達目標とします。,この授業では、班に分かれて報告・ディベートをしてもらう予定です。報告を割り当てられた班は、割り当てられたテーマについて報告準備を行います。また、その他の受講生も、報告テーマに関する文献を読んで授業に臨むことが求められます。,"1:
第１回
オリエンテーション
2:
第２回
テーマ報告・ディスカッション１
3:
第３回
テーマ報告・ディスカッション２
4:
第４回
テーマ報告・ディスカッション３
5:
第５回
テーマ報告・ディスカッション４
6:
第６回
判例の読み方
7:
第７回
弁護士事務所訪問
8:
第８回
判例報告・ディスカッション１
9:
第９回
判例報告・ディスカッション２
10:
第１０回
判例報告・ディスカッション３
11:
第１１回
判例報告・ディスカッション４
12:
第１２回
ディベート準備
13:
第１３回
ディベート実施
14:
第１４回
秋学期のまとめ",「ポケット六法」（有斐閣）または「デイリー六法」（三省堂）の最新版を必ず用意してください。,必要に応じて授業で指示します。,"割合
評価基準
平常点評価:
100％
平常のゼミにおける報告内容、討論における発言の積極さと的確さ等を総合的に評価します。なお、リアクションペーパー等を課す場合にはそれらも評価に加えます。","皆さんの中には、法学を学ぶ意欲に満ちあふれて入学された方もいれば、法学がどういう学問なのかよくわからないまま入学された方もいると思います。どちらの方にとっても、法学を学ぶ意味・楽しさを知ってもらえる授業にしたいと思っています。
〔法学部ディプロマ・ポリシーとの関係性〕
法学部では、以下のリンクのとおり、ディプロマ・ポリシーに照らした学修成果を定めています。
この科目は、学修成果1・学修成果2・学修成果3・学修成果7・学修成果8に貢献する科目にあたります。
法学部ディプロマ・ポリシー：
https://www.waseda.jp/folaw/law/about/policy/",LAWH101S,法学,その他法学,概論,初級レベル（入門・導入）,導入教育科目（演習）選択,１年以上,2,日本語,【対面】
