year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key
2026,ACCX331L,会計監査論,山崎　秀彦,社学,春学期,01:月１時限 02:水１時限,01:８-３０８ 02:８-３０８,＊本講義は、2026年度教室における対面授業を原則とします。なお、状況により、......,1800000002012026180000000218
2026,MANX201L,経営学,小阪　玄次郎,社学,春学期,01:月３時限 02:火３時限,01:１４-１０２ 02:１５-１０２,この講義では、経営学の基礎的な概念や分析フレームワークを紹介します。経営学......,1800000004012026180000000418
2026,ACCX321L,原価計算,成岡　浩一,社学,春学期,01:水３時限 02:水４時限,01:３-３０４ 02:３-３０４,原価計算とは、財務諸表の作成や経営管理への活用を目的として原価情報を提供......,1800000010012026180000001018
2026,MANX201L GSSC201L,証券論,葛山　康典,社学,春学期,01:火４時限 02:水４時限,01:１４-４０１ 02:１４-４０１,企業は、様々な地域・通貨で、各々の目的に合致した方法で、経営に必要な資金......,1800000066012026180000006618
2026,ACCX321L,管理会計,齋藤　正章,社学,春学期,01:木３時限 02:木４時限,01:１４-４０１ 02:１４-４０１,管理会計は、“accounting for management”、“managerial accounting”と呼ばれる......,1800000089012026180000008918
2026,ACCX101L,簿記 Ａ,井上　慶太,社学,春学期,01:木１時限 02:木２時限,01:１４-４０２ 02:１４-４０２,企業が社会に公表する財務諸表（損益計算書、貸借対照表などからなる書類）......,1800000104012026180000010418
2026,GSSA101L,社会科学のための数学,葛山　康典,社学,春学期,01:火３時限 02:水３時限,01:１４-６１４ 02:１４-６１４,社会科学の分野では、多くの分野において、数学的手法が活用されています。こ......,1800000114012026180000011418
2026,CMMM101L,マーケティング入門 Ａ,野口　智雄,社学,春学期,無フルOD,-,本年度は、時空間を問わず反復視聴ができ、教育効果も高いオンデマンド配信で......,1800000194012026180000019418
2026,GEOX101L,人文地理学,竹林　和彦,社学,春学期,火４時限,１４-５０２,本授業のテーマは「現代社会の人文地理学（系統地理学）的な考察と理解」である......,1800000214012026180000021418
2026,ANTC101L,文化人類学 １,小長谷　英代,社学,春学期,火３時限,１４-５０２,この授業では文化人類学の基本的な概念や理論について学び、「文化」をめぐる知......,1800000242012026180000024218
2026,MANX101L,社会科学のための基礎コンピュータ Ａ,阿部　圭司,社学,春学期,01:金１時限 02:金２時限,01:１４-６１４ 02:１４-６１４,コンピュータを初めて扱うという学生を対象に，経済・金融データを分析するツー......,1800000254012026180000025418
2026,MANX101L,社会科学のための基礎コンピュータ Ｅ,佐藤　公俊,社学,春学期,01:無フルOD 02:無フルOD,01:- 02:-,※8月24日「成績評価方法」更新 社会科学に統計学を応用し，数値データを分析し......,1800000254052026180000025418
2026,POLX311L,情報政治論,細貝　亮,社学,春学期,水３時限,１５-２０１,本講義では、メディア技術の発達がもたらす情報化社会の特性、情報化が現代政治......,1800000294012026180000029418
2026,POLX271L,現代政治制度論（イギリス）,秋本　富雄,社学,春学期,木４時限,１４-５１５,英国では、1997年から13年間続いた労働党政権の時代、中央ー政府関係、議会、......,1800000305012026180000030518
2026,POLX271L,現代政治制度論（アメリカ合衆国）,西山　隆行,社学,春学期,金４時限,７-２０２,アメリカの内政と外交について講義する。 アメリカ政治には、短期的な変動が激......,1800000307012026180000030718
2026,POLX311L ARSH381L,現代政治分析（イタリア）,池谷　知明,社学,春学期,火３時限,１４-Ｂ１０１,現代イタリア政治を特徴づける3つの対立軸−聖俗の対立、南北の対立、左右の対立......,1800000308012026180000030818
2026,INFM301L,情報システム,金子　勝一,社学,春学期,月３時限,１４-６１４,【授業概要】授業形態：対面授業となります。 ICT（Information & Commun......,1800000375012026180000037518
2026,POLX311L,現代政治分析（ドイツ）,高見　仁,社学,春学期,土３時限,１４-５１５,本授業では、主として１８７１年のドイツ帝国の成立から現代に至る、ドイツの......,1800000407012026180000040718
2026,BIOX181L,生態学 １,赤尾　健一,社学,春学期,無フルOD,-,生態学は、生物の社会とその環境との関わりを理解、分析するものです。分野とし......,1800000418012026180000041818
2026,ARSB381L,中国研究 １,劉　傑,社学,春学期,火２時限,１５-４０１,太平洋戦争終了後の中国大陸では国民党と共産党による内戦が勃発し、その結果......,1800000514012026180000051418
2026,POLX331L,国際政治理論,奥迫　元,社学,春学期,水４時限,１５-２０２,第二次世界大戦後のアメリカ国際政治理論研究は、ほぼ一貫して現実主義を「回......,1800000586012026180000058618
2026,POLX321L,現代市民権理論,大庭　大,社学,春学期,火４時限,７-３０６,本講義では、現代の政治的社会の成り立ちとそのメンバーである「市民」について......,1800000590012026180000059018
2026,POLX311L,国会論,小林　英樹,社学,春学期,水６時限,１４-４０３,本講義では、議会運営の最前線で実務に携わってきた経験を踏まえ、国会にお......,1800000667012026180000066718
2026,POLX211L,政治学原論 １,池谷　知明,社学,春学期,水３時限,１４-４０３,政治学の主要概念、理論や政治制度が、どのように発展してきたかについて、歴史......,1800000693012026180000069318
2026,PHLM121L,バイオエシックス,横野　恵,社学,春学期,無フルOD,-,2026/03/22更新 （本科目はオンデマンド形式です。教室での対面の講義は実施し......,1800000700012026180000070018
2026,HUMC301L,人間行動と進化,秋山　英三,社学,春学期,無フルOD,-,[授業概要]  （※ 対面試験を実施します） 社会科学に大きな影響を与えたダーウ......,1800000707012026180000070718
2026,INTB351L,国際ＮＧＯ協力論,永井　陽右,社学,春クォーター,01:金４時限 02:金５時限,01:１４-２０１ 02:１４-２０１,開発、人権、紛争解決、平和構築、環境など国際協力が求められる範囲は拡大して......,1800000727012026180000072718
2026,POLX371L,国際開発制度論,利根川　佳子,社学,春クォーター,01:火２時限 02:火３時限,01:１４-６０４ 02:１４-６０４,国際開発学は、様々な学問が融合した学際的な学問である。国際協力や国際開発......,1800000728012026180000072818
2026,SOCX221L,社会調査法 ２,周藤　真也,社学,春学期,無フルOD,-,「社会調査」と呼ばれる〈知〉とその想像力について考察するとともに、その方法......,1800000731012026180000073118
2026,GENX301L,職業指導 １,小島　貴子,社学,春学期,金３時限,３-３０５,職業指導からキャリア教育への変遷のなかで学校教育における職業・進路指導の......,1800000732012026180000073218
2026,PHLT101L,社会科学の基礎 Ａ,吉田　敬,社学,春学期,水２時限,１４-４０２,社会科学を学ぶには、自然科学も含めた科学一般に共通する科学的思考を身につけ......,1800000739012026180000073918
2026,SOCX121L,社会調査の基礎 Ａ,開沼　泰隆,社学,春学期,月１時限,１４-４０２,本授業は、社会調査を学ぶための初学者向け講義である。そもそも社会調査は誰が......,1800000740012026180000074018
2026,ECNT111L,ゲーム理論の基礎 Ａ,戸田　学,社学,春学期,木１時限,１４-５１４,ゲーム理論とは相互に影響を及ぼし合うような依存関係にある意思決定主体が独立......,1800000743012026180000074318
2026,POLX101L,政治分析の基礎 Ａ,遠藤　晶久,社学,春学期,無フルOD,-,【授業形式】 ・この授業はオンデマンド形式で実施する。授業動画自体は秋学期......,1800000744012026180000074418
2026,SOCX101L,社会学入門 Ａ,佐藤　信吾,社学,春学期,水１時限,１５-１０１,【本授業は、対面授業とオンデマンド授業を組み合わせたハイブリッド型授業であ......,1800000746012026180000074618
2026,SOCX101L,社会学入門 Ｂ,吉田　耕平,社学,春学期,金１時限,１５-１０１,【本授業は、対面授業とオンデマンド授業を組み合わせたハイブリッド型授業であ......,1800000746022026180000074618
2026,SOCX101L,社会学入門 Ｃ,大窪　彬夫,社学,春学期,火１時限,１５-１０１,【本授業は、対面授業とオンデマンド授業を組み合わせたハイブリッド型授業であ......,1800000746032026180000074618
2026,POLX101L,政治学入門 Ａ,安中　進／稲生　信男／押谷　健,社学,春学期,水２時限,１５-３０２,専門科目としての政治学への入口を示すために、政治思想・政治過程・行政学をそ......,1800000748012026180000074818
2026,POLX101L,政治学入門 Ｂ,安中　進／稲生　信男／押谷　健,社学,春学期,無フルOD,-,＊Moodleを使用したフルオンデマンド（録画視聴）形式です。ただし、最終回の期......,1800000748022026180000074818
2026,INTA101L,国際関係論入門 Ａ,奥迫　元／堀　芳枝／利根川　佳子,社学,春学期,無フルOD,-,(概要) 本科目は、今後、国際社会・国際関係について学ぼうとする学生に、......,1800000749012026180000074918
2026,ECNE101L,経済学入門 １〔ミクロ経済学〕 Ａ,北村　能寛,社学,春学期,無フルOD,-,＊講義はオンディマンドで行う。 期末試験（教場）と各回の小テストの合計点で......,1800000753012026180000075318
2026,ECNE101L,経済学入門 １〔ミクロ経済学〕 Ｂ,鷲津　明由,社学,春学期,月２時限,１５-３０１,経済学を初めて学ぶ学生に、その1部であるミクロ経済学の基本をできるだけ分か......,1800000753022026180000075318
2026,MANX101L,経営学入門 Ａ,葛山　康典／小阪　玄次郎／須子　統太／中島　健一,社学,春学期,火２時限,１５-１０１,本講義では、経営学の基礎的な知識や考え方を説明する。 経営は経営の４要素と......,1800000754012026180000075418
2026,MANX101L,経営学入門 Ｂ,葛山　康典／小阪　玄次郎／須子　統太／中島　健一,社学,春学期,木２時限,１５-１０１,本講義では、経営学の基礎的な知識や考え方を説明する。 経営は経営の４要素と......,1800000754022026180000075418
2026,ECNA311L,社会科学総合研究（ロシア東欧現代経済） 1,弦間　正彦／池本　修一,社学,春学期,無フルOD,-,春学期を通じて、すべての回でオンデマンドでの配信となります。 旧社会主義諸......,1800000759012026180000075918
2026,SOCX121L,社会調査法 １Ａ,開沼　泰隆,社学,春学期,月２時限,１４-４０２,社会調査は、社会で暮らす人々の行動や考え方の実態をとらえ、集めたデータを科......,1800000792012026180000079218
2026,GSSH201P,ソーシャル・リサーチ（まちづくり） I,早田　宰／周藤　真也,社学,春学期,金２時限,１２-４０２,※履修者は、「ソーシャル・リサーチ（まちづくり）I（春学期）・Ⅱ（夏季・秋学......,1800000798012026180000079818
2026,PHLE101L,東洋哲学 １,王　前,社学,春学期,火４時限,１４-４０２,東洋哲学とは何か、簡単にはとても説明しにくいので、代表的な思想家の思想を......,1800000802012026180000080218
2026,PHLE131L,中国哲学 １,遠藤　純一郎,社学,春学期,金５時限,１４-４０３,東アジア地域は近代化にともない、西欧の思想・ライフスタイルが流入し、伝統的......,1800000804012026180000080418
2026,PHLM181L,倫理学 １,関口　浩,社学,春学期,月５時限,１４-１０１,今世紀の始まりの頃から、サステナビリティ、持続可能性ということがさかんに......,1800000806012026180000080618
2026,PSYX261L,臨床心理学,阿部　哲理,社学,春学期,金２時限,１５-３０１,臨床心理学は、困難や生きづらさを抱える人々の心を支えるために発展してきた分......,1800000809012026180000080918
2026,HISE101L,外国史概論 １,日尾野　裕一,社学,春学期,金２時限,１４-４０３,近現代の世界の歴史は、帝国による統治、そして帝国解体の影響と不可分なもので......,1800000814012026180000081418
2026,HISA101L HISA121L,歴史学（日本史） １,黒田　智,社学,春学期,火３時限,１５-２０３,日本史・日本文化を理解するための入門編。この授業では、より身近な問題を出発......,1800000816012026180000081618
2026,HISA141L,歴史学（日中関係史） １,劉　傑,社学,春学期,火３時限,１４-１０２,《２０１３年度オープン科目指定》 近代東アジアにおいて、日本と中国は互い......,1800000818012026180000081818
2026,HISB111L,歴史学（アジア史） １,松田　春香,社学,春学期,木２時限,７-２０６,日本と朝鮮半島では、歴史認識を巡りしばしば対立するのは、なぜでしょうか。そ......,1800000820012026180000082018
2026,HISE181L,歴史学（ヨーロッパ史） １,古川　誠之,社学,春学期,無フルOD,-,人間が「空間を認識する」とき、彼は自らの属する文化の影響を強く受けていま......,1800000822012026180000082218
2026,CMFC111L,漢字文化圏論 １,笹原　宏之,社学,春学期,火５時限,１４-１０１,《２０１３年度オープン科目指定》 中国大陸とそれを取り囲む香港、台湾、朝鮮......,1800000835012026180000083518
2026,CMFC181L,異文化コミュニケーション論,花光　里香,社学,春学期,水３時限,１４-６０４,異文化というと外国の文化を思い浮かべることが多いが、地域、世代、ジェンダー......,1800000837012026180000083718
2026,LITJ171L,言語表現論 １,笹原　宏之,社学,春学期,月３時限,１５-３０２,私たちがふだん読んでいる文章や聞いている話には、正しい理解を導くための要......,1800000839012026180000083918
