year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key,subtitle,summary,goal,study_outside,schedule_plan,textbook,reference,grading_method,notes_url,course_code_full,major_field,middle_field,minor_field,level,subject_category,year_assignment,credits,language,method_type
2026,HSSS103S,スポーツ教養演習I　01,林　直亨／藤田　善也／堀田　文郎,スポーツ,春学期,水２時限,01:１００-１１５ 01:所沢野球場 01:スポーツホール実習室１A 01:スポーツホール実習室１B,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110012026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　02,前田　慶明／ショ　コウロ／林　直亨,スポーツ,春学期,水２時限,１００-Ｓ１０１,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110022026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　03,佐々木　究／初雁　晶子／林　直亨,スポーツ,春学期,水２時限,１００-４１０,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110032026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　04,岡田　千あき／大島　惇史／彭　恒／林　直亨,スポーツ,春学期,水２時限,１００-４０２,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110042026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　05,松藤　貴秋／金子　萌子／古屋　良祐／林　直亨,スポーツ,春学期,水２時限,１００-Ｓ２０１,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110052026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　06,中村　宣博／妙圓園　香苗／林　直亨,スポーツ,春学期,水２時限,１００-１１９,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110062026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　07,筒井　俊春／川間　羅聖／林　直亨,スポーツ,春学期,水２時限,１００-１１７,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110072026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　08,安永　太地／泉　主馬／林　直亨,スポーツ,春学期,水２時限,１００-２１０,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110082026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　09,前道　俊宏／水田　良実／林　直亨,スポーツ,春学期,水２時限,１００-２０２,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110092026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
2026,HSSS103S,スポーツ教養演習I　10,塚本　敏人／藤森　俊秀／林　直亨,スポーツ,春学期,水２時限,１００-１１６,教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識......,2000001110102026200000111020,,"教養演習Ⅰ～Ⅲでは，早稲田大学スポーツ科学部で学ぶ学生として知るべき基礎知識を習得し，アカデミックスキルの基礎を理解・体得する．大学生として，さらに社会に出てからも自ら学び続け，他者に敬意を払いつつ情報交換するスキルを理解する．学修内容とスキルの理解と体得を心がけ，授業中には積極的に意見を共有することが期待される．授業はすべての回を担当教員全員で担当する。
この授業は、以下の目的で実施する。
・スポーツに関する様々な話題や基礎理論を幅広く提供する。
・スポーツ科学の勉学を進める上での導入の役割を果たすこ。
・各自の勉学上の関心・問題を相談するための場を提供する。
・クラス懇親を通じて学生生活の支援情報を交換する機会を提供する。
・アカデミック・ライティング、プレゼンテーション、対話の基礎的な技法を学修し、その実践を行う場を提供する。
・２年時からのコース選択に必要な情報提供を行う。",【コンテンツ】①早稲田の歴史・伝統や大学創設者たちの理想・進歩性や，大学と社会とのつながりを知る．②（スポーツにおける）多様性や共感の重要性を理解し，傾聴の重要性を学ぶ．③スポーツ科学の初歩的な研究内容に触れる．,各回の予習・復習には約90分～120分かかると想定されます。,"1:
第１回
オリエンテーション（教員紹介，相互インタビューと他者紹介，，早稲田大学紹介）
2:
第２回
アカデミックスキルとは何か，レポート作成技法，対話とピアレビュー，プレゼンテーションの基礎，最終課題の提示
3:
第３回
所沢中央図書館の利用方法（ガイダンス），ライティングセンター紹介，引用の重要性
4:
第４回
スポーツ実習とコミュニケーション
5:
第５回
対話１
6:
第６回
対話２
7:
第７回
プレゼンテーション初級（基礎となる考え方）
8:
第８回
スポーツ選手・関係者紹介バトル１
9:
第９回
対話３
10:
第10回
ライトニングトーク
11:
第11回
スポーツ選手・関係者紹介バトル２
12:
第12回
対話４
13:
第13回
プレゼンテーション
14:
第14回
春学期総括プレゼンテーションとまとめ",教養としてのスポーツ科学：アクティヴ・ライフの創出をめざして （著：早稲田大学スポーツ科学学術院編、出版社：大修館書店）,必要に応じて、授業中に指示する。,"割合
評価基準
レポート:
30％
レポートによる評価
平常点評価:
70％
平常点による評価（プレゼンテーションや対話，振り返りシートなど）",【授業計画の進行順序は教養演習Ⅰのクラスによって異なります（初回および最終回は同一）．進行順序については各クラスの担当教員の指示にしたがってください．】,HSSS103S,健康／スポーツ科学,スポーツ科学,スポーツ科学,初級レベル（入門・導入）,スポーツ教養演習,１年以上,1,日本語,【対面】
